type,name,time_units,begin_time,frequency,count,units
signal_4d,"Noraxon MyoMotion-Segments-Forearm RT-Orientation","s",0.0000,200,4916,""

time,x,y,z,w
0.8800,0.1288380007,-0.6094171933,-0.7473735963,0.2311799335
0.8850,0.12834021,-0.6089519666,-0.7476133195,0.2319064841
0.8900,0.1278423536,-0.6084773129,-0.7478543026,0.2326491657
0.8950,0.1273446327,-0.6079930086,-0.7480966434,0.2334079221
0.9000,0.1268490171,-0.6075001671,-0.7483388571,0.2341833229
0.9050,0.1263558812,-0.6069975377,-0.7485821922,0.2349742157
0.9100,0.1258643105,-0.6064856149,-0.7488262068,0.2357810135
0.9150,0.1253771981,-0.6059642008,-0.7490702295,0.2366046001
0.9200,0.1248931868,-0.6054349091,-0.7493143053,0.2374412235
0.9250,0.1244125171,-0.6048980285,-0.7495577427,0.2382920291
0.9300,0.1239342662,-0.6043532509,-0.7498015865,0.2391548174
0.9350,0.1234584863,-0.6038019427,-0.7500448893,0.2400289154
0.9400,0.12298399,-0.6032446005,-0.7502877456,0.2409132395
0.9450,0.122510715,-0.6026801982,-0.7505309891,0.2418076464
0.9500,0.1220390279,-0.6021087268,-0.7507746638,0.2427116828
0.9550,0.1215683567,-0.601531069,-0.7510183585,0.2436245736
0.9600,0.1211000309,-0.6009457315,-0.7512625556,0.2445477108
0.9650,0.1206320065,-0.6003532416,-0.7515075956,0.2454796082
0.9700,0.1201649905,-0.5997531436,-0.7517533009,0.2464214203
0.9750,0.1196999202,-0.5991453429,-0.7520003203,0.2473707853
0.9800,0.1192370609,-0.5985299895,-0.7522479444,0.2483292275
0.9850,0.1187761899,-0.5979075685,-0.7524969923,0.2492930663
0.9900,0.1183156614,-0.597278708,-0.752746579,0.2502641343
0.9950,0.1178590234,-0.5966437767,-0.7529962786,0.2512410373
1.0000,0.1174063661,-0.5960034434,-0.7532457061,0.2522232085
1.0050,0.116956578,-0.595357035,-0.7534956282,0.2532103832
1.0100,0.1165089718,-0.5947050455,-0.753745737,0.2542025419
1.0150,0.1160626897,-0.5940491914,-0.7539956141,0.255197226
1.0200,0.1156159431,-0.5933880234,-0.7542463767,0.2561952587
1.0250,0.1151663081,-0.5927209562,-0.7544992408,0.2571954224
1.0300,0.1147115653,-0.5920479813,-0.7547543527,0.2581982023
1.0350,0.1142511309,-0.5913696995,-0.7550121128,0.2592012098
1.0400,0.1137836949,-0.5906864756,-0.7552713755,0.2602074319
1.0450,0.1133099937,-0.5899977085,-0.755532922,0.2612155298
1.0500,0.1128284071,-0.5893033192,-0.755796642,0.2622265899
1.0550,0.1123380487,-0.5886026284,-0.7560633494,0.2632400433
1.0600,0.1118390835,-0.5878967299,-0.7563318155,0.2642567676
1.0650,0.1113311383,-0.587184355,-0.756603337,0.2652758967
1.0700,0.1108138492,-0.5864675138,-0.756876472,0.2662971126
1.0750,0.1102862658,-0.5857444765,-0.7571527168,0.2673202411
1.0800,0.1097456536,-0.5850161308,-0.7574319446,0.2683446804
1.0850,0.1091920011,-0.5842836619,-0.7577130714,0.2693707683
1.0900,0.1086225424,-0.5835466688,-0.7579973952,0.270396704
1.0950,0.1080365828,-0.5828055462,-0.7582846133,0.2714226176
1.1000,0.1074322977,-0.5820603729,-0.758575426,0.2724469614
1.1050,0.1068092177,-0.5813115012,-0.7588694752,0.273470015
1.1100,0.1061680541,-0.5805580831,-0.759166161,0.2744948022
1.1150,0.1055094533,-0.5798006577,-0.7594655746,0.2755194976
1.1200,0.1048334389,-0.579038925,-0.7597675177,0.2765451003
1.1250,0.104140461,-0.5782714295,-0.7600721224,0.2775739305
1.1300,0.1034301536,-0.5774995197,-0.7603787419,0.2786048761
1.1350,0.1027039681,-0.5767220043,-0.7606876068,0.2796390346
1.1400,0.1019598756,-0.5759393909,-0.7609981208,0.2806775052
1.1450,0.1011993228,-0.5751497652,-0.7613108262,0.2817219739
1.1500,0.1004253897,-0.5743529578,-0.7616252956,0.2827725765
1.1550,0.09963428633,-0.5735483769,-0.7619420704,0.2838301424
1.1600,0.09882582988,-0.5727363518,-0.7622604146,0.2848957476
1.1650,0.09799969864,-0.571916806,-0.7625808257,0.2859680234
1.1700,0.09715557167,-0.5710888842,-0.7629024994,0.2870506186
1.1750,0.09629412788,-0.570252443,-0.7632259442,0.2881418927
1.1800,0.09541347769,-0.5694075636,-0.7635512143,0.2892418331
1.1850,0.09451460736,-0.568553471,-0.763877949,0.2903522319
